transport_type,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,date_year,date_month,date_weekday,date_hour,date_minute,date_seconde,temp,humidity,visibility,wind,rain
0,6608G,82,,,,2020-11-08 00:27:48.892641,,2020,11,6,0,27,48,281.43,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:28:49.951234,,2020,11,6,0,28,49,281.43,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:28:49.951924,,2020,11,6,0,28,49,281.43,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:28:49.952582,,2020,11,6,0,28,49,281.43,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:28:49.953236,,2020,11,6,0,28,49,281.43,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:29:51.142911,,2020,11,6,0,29,51,281.43,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:29:51.143511,,2020,11,6,0,29,51,281.43,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:29:51.144078,,2020,11,6,0,29,51,281.43,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:29:51.144631,,2020,11,6,0,29,51,281.43,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:30:51.747814,,2020,11,6,0,30,51,281.43,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:30:51.748502,,2020,11,6,0,30,51,281.43,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:30:51.749157,,2020,11,6,0,30,51,281.43,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:30:51.749804,,2020,11,6,0,30,51,281.43,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:31:52.621875,,2020,11,6,0,31,52,281.43,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:31:52.622596,,2020,11,6,0,31,52,281.43,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:31:52.623258,,2020,11,6,0,31,52,281.43,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:31:52.623905,,2020,11,6,0,31,52,281.43,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:32:54.857195,,2020,11,6,0,32,54,281.43,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:32:54.857797,,2020,11,6,0,32,54,281.43,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:32:54.858387,,2020,11,6,0,32,54,281.43,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:32:54.858950,,2020,11,6,0,32,54,281.43,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:33:58.592432,,2020,11,6,0,33,58,281.43,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:33:58.593122,,2020,11,6,0,33,58,281.43,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:33:58.593798,,2020,11,6,0,33,58,281.43,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:33:58.594468,,2020,11,6,0,33,58,281.43,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:34:59.768285,,2020,11,6,0,34,59,281.11,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:34:59.768972,,2020,11,6,0,34,59,281.11,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:34:59.769629,,2020,11,6,0,34,59,281.11,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:34:59.770300,,2020,11,6,0,34,59,281.11,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:36:00.631375,,2020,11,6,0,36,0,281.11,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:36:00.631971,,2020,11,6,0,36,0,281.11,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:36:00.632536,,2020,11,6,0,36,0,281.11,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:36:00.633095,,2020,11,6,0,36,0,281.11,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:37:01.307889,,2020,11,6,0,37,1,281.11,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:37:01.308582,,2020,11,6,0,37,1,281.11,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:37:01.309240,,2020,11,6,0,37,1,281.11,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:37:01.309888,,2020,11,6,0,37,1,281.11,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:38:02.430380,,2020,11,6,0,38,2,281.11,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:38:02.431076,,2020,11,6,0,38,2,281.11,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:38:02.431748,,2020,11,6,0,38,2,281.11,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:38:02.432399,,2020,11,6,0,38,2,281.11,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:39:03.622838,,2020,11,6,0,39,3,281.14,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:39:03.623586,,2020,11,6,0,39,3,281.14,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:39:03.624242,,2020,11,6,0,39,3,281.14,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:39:03.624898,,2020,11,6,0,39,3,281.14,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:40:06.061789,,2020,11,6,0,40,6,281.14,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:40:06.062516,,2020,11,6,0,40,6,281.14,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:40:06.063174,,2020,11,6,0,40,6,281.14,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:40:06.063827,,2020,11,6,0,40,6,281.14,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:41:10.201382,,2020,11,6,0,41,10,281.14,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:41:10.202099,,2020,11,6,0,41,10,281.14,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:41:10.202760,,2020,11,6,0,41,10,281.14,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:41:10.203405,,2020,11,6,0,41,10,281.14,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:42:11.018839,,2020,11,6,0,42,11,281.14,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:42:11.019438,,2020,11,6,0,42,11,281.14,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:42:11.020006,,2020,11,6,0,42,11,281.14,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:42:11.020562,,2020,11,6,0,42,11,281.14,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:43:11.902921,,2020,11,6,0,43,11,281.14,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:43:11.903453,,2020,11,6,0,43,11,281.14,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:43:11.903954,,2020,11,6,0,43,11,281.14,87,10000,1.5,0
