transport_type,trip,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,year,month,day,hour,minute,temp,humidity,visibility,wind,rain
0,,5515,39,,,,2020-11-26 00:18:11.155794,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5516,39,,,,2020-11-26 00:18:11.337539,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5517,39,,,,2020-11-26 00:18:11.516778,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5518,39,,,,2020-11-26 00:18:11.698293,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,5519,39,,,,2020-11-26 00:18:11.877001,,2020,11,3,0,18,280.97,81,10000,3.6,0
0,,0089,39,,,,2020-11-26 00:20:43.056622,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,0089,44,,,,2020-11-26 00:20:43.057369,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5501,39,,,,2020-11-26 00:20:43.058377,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5501,44,,,,2020-11-26 00:20:43.059366,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5502,39,,,,2020-11-26 00:20:43.060375,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5502,44,,,,2020-11-26 00:20:43.061364,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5503,39,,,,2020-11-26 00:20:43.062352,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5503,44,,,,2020-11-26 00:20:43.063329,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5504,39,,,,2020-11-26 00:20:43.064358,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5504,44,,,,2020-11-26 00:20:43.064933,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5281G,39,,,,2020-11-26 00:20:43.246532,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5281G,44,,,,2020-11-26 00:20:43.246970,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5281G,8,,,,2020-11-26 00:20:43.597787,,2020,11,3,0,20,280.97,81,10000,3.6,0
0,,5507,39,,,,2020-11-26 00:20:43.775930,,2020,11,3,0,20,280.97,81,10000,3.6,0
